pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_dens,st_denserr1,st_denserr2,st_denslim,ra,dec,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2
G 9-40 b,G 9-40,1,1,1,Transit,Published Confirmed,0,5.74599820000,0.00000200000,-0.00000200000,0,0.0418000000,0.0006400000,-0.0006400000,0,1.90000000,0.06500000,-0.06500000,0,4.00000000,0.63000000,-0.63000000,0,Mass,3.200000,0.630000,-0.580000,0,0.000000,,,0,6.2700,0.1900,-0.1900,0,440.60,7.60,-7.60,0,89.03000,0.10000,-0.10000,0,3395.00,51.00,-51.00,0,0.302600,0.009500,-0.009500,0,0.295200,0.013600,-0.013600,0,-0.0700,0.1600,-0.1600,0,[Fe/H],-1.96019,0.00746,-0.00759,0,4.840000,0.040000,-0.040000,0,1.620000,0.110000,-0.110000,0,134.7188514,21.0747961,15.4770000,0.0790000,-0.0790000,13.8210000,0.0440000,-0.0440000,12.7331000,0.0004400,-0.0004400,11.5219000,0.0073949,-0.0073949
GJ 367 b,GJ 367,1,1,3,Transit,Published Confirmed,0,0.32192250000,0.00000020000,-0.00000020000,0,0.0070900000,0.0002700000,-0.0002700000,0,0.69900000,0.02400000,-0.02400000,0,0.63300000,0.05000000,-0.05000000,0,Mass,10.200000,1.300000,-1.300000,0,0.060000,0.070000,-0.040000,0,579.0000,57.0000,-52.0000,0,1365.00,32.00,-32.00,0,79.89000,0.87000,-0.85000,0,3522.00,70.00,-70.00,0,0.458000,0.013000,-0.013000,0,0.455000,0.011000,-0.011000,0,-0.0100,0.1200,-0.1200,0,[Fe/H],-1.53910,0.04153,-0.04260,0,4.776000,0.026000,-0.026000,0,6.696675,0.620324,-0.549832,0,146.1214640,-45.7790165,11.6170000,0.0340000,-0.0340000,10.1530000,0.0440000,-0.0440000,9.1515900,0.0006500,-0.0006500,8.0319410,0.0074304,-0.0074304
GJ 3929 b,GJ 3929,1,1,2,Transit,Published Confirmed,0,2.61623500000,0.00000500000,-0.00000500000,0,0.0252000000,0.0005000000,-0.0005000000,0,1.09000000,0.04000000,-0.04000000,0,1.75000000,0.44000000,-0.45000000,0,Mass,7.300000,2.000000,-2.000000,0,0.000000,,,0,17.3000,0.7000,-0.7000,0,568.00,6.00,-6.00,0,88.44200,0.00800,-0.00800,0,3384.00,88.00,-88.00,0,0.320000,0.010000,-0.010000,0,0.313000,0.027000,-0.022000,0,-0.0200,0.1200,-0.1200,0,[Fe/H],-1.96257,0.01948,-0.01624,0,4.890000,0.050000,-0.050000,0,13.300000,1.100000,-1.100000,0,239.5775678,35.4081141,14.3330000,0.0080000,-0.0080000,12.6750000,0.0230000,-0.0230000,11.5109000,0.0006810,-0.0006810,10.2705000,0.0073339,-0.0073339
GJ 486 b,GJ 486,1,1,1,Radial Velocity,Published Confirmed,0,1.46712127000,0.00000031000,-0.00000035000,0,0.0171400000,0.0001300000,-0.0001300000,0,1.28900000,0.01900000,-0.01400000,0,2.77000000,0.07600000,-0.07300000,0,Mass,6.660000,0.230000,-0.290000,0,0.000860,0.001600,-0.000430,0,39.2000,1.7000,-1.6000,0,696.30,7.20,-7.30,0,89.39000,0.41000,-0.42000,0,3317.00,36.00,-37.00,0,0.324300,0.004400,-0.003400,0,0.312000,0.007000,-0.006900,0,-0.1500,0.1300,-0.1200,0,[Fe/H],-1.93892,0.01738,-0.01771,0,4.911100,0.006800,-0.011000,0,12.950000,0.250000,-0.500000,0,191.9815310,9.7494181,2.6150000,0.2910000,-0.2910000,11.3900000,0.1000000,-0.1000000,10.0940000,0.0007460,-0.0007460,8.8223000,0.0072712,-0.0072712
GPX-1 b,GPX-1,1,1,1,Transit,Published Confirmed,0,1.74457900000,0.00000800000,-0.00000800000,0,0.0338000000,0.0003000000,-0.0003000000,0,16.47720163,1.12089807,-1.12089807,0,6261.21961790,508.52545120,-508.52545120,0,Mass,8.222423,1.724056,-1.326197,0,0.000000,,,0,4650.0000,370.0000,-370.0000,0,2300.00,48.00,-48.00,0,79.90000,0.70000,-0.60000,0,7000.00,200.00,-200.00,0,1.560000,0.100000,-0.100000,0,1.680000,0.100000,-0.100000,0,0.3500,0.1000,-0.1000,0,[Fe/H],0.72673,0.03143,-0.03388,0,4.270000,0.050000,-0.050000,0,0.620324,0.140983,-0.140983,0,38.3691648,56.0257080,12.7400000,0.0430000,-0.0430000,12.3160000,0.0690000,-0.0690000,12.2228000,0.0002370,-0.0002370,11.9004000,0.0099000,-0.0099000
HAT-P-25 b,HAT-P-25,1,1,1,Transit,Published Confirmed,0,3.65281514000,0.00000076000,-0.00000075000,0,0.0466000000,0.0008100000,-0.0008000000,0,12.72221500,0.53803200,-0.53803200,0,180.84527000,7.31009000,-6.99226000,0,Mass,0.483000,0.059000,-0.051000,0,0.023000,0.022000,-0.014000,0,325.0000,29.0000,-26.0000,0,1182.00,25.00,-25.00,0,88.22000,0.45000,-0.36000,0,5519.00,78.00,-76.00,0,0.919000,0.034000,-0.034000,0,1.012000,0.053000,-0.051000,0,0.2940,0.0800,-0.0800,0,[Fe/H],-0.15181,0.04446,-0.04542,0,4.516000,0.026000,-0.025000,0,1.840000,0.170000,-0.150000,0,48.4354731,25.1973548,14.0940000,0.0370000,-0.0370000,13.1460000,0.0920000,-0.0920000,12.8416000,0.0002440,-0.0002440,12.2192000,0.0060000,-0.0060000
HAT-P-58 b,HAT-P-58,1,1,1,Transit,Published Confirmed,0,4.01383790000,0.00000240000,-0.00000240000,0,0.0499400000,0.0004400000,-0.0004400000,0,14.93036229,0.48198617,-0.48198617,0,118.23216740,9.53485221,-9.53485221,0,Mass,0.194000,0.024000,-0.024000,0,0.073000,,,1,1146.0000,50.0000,-50.0000,0,1622.00,18.00,-18.00,0,85.64000,0.34000,-0.34000,0,6078.00,48.00,-48.00,0,1.530000,0.034000,-0.034000,0,1.031000,0.028000,-0.028000,0,-0.2240,0.0570,-0.0570,0,[Fe/H],0.45637,0.02220,-0.02340,0,4.082000,0.020000,-0.020000,0,0.405000,0.026000,-0.026000,0,68.8465093,56.8682691,13.6900000,0.0890000,-0.0890000,12.9250000,0.1950000,-0.1950000,12.7202000,0.0002190,-0.0002190,12.1957000,0.0061000,-0.0061000
HAT-P-59 b,HAT-P-59,1,1,1,Transit,Published Confirmed,0,4.14197710000,0.00000120000,-0.00000120000,0,0.0506400000,0.0003700000,-0.0003700000,0,12.58768533,0.14571675,-0.14571675,0,489.45574678,21.29450327,-21.29450327,0,Mass,1.347000,0.081000,-0.081000,0,0.030000,,,1,441.4000,8.9000,-8.9000,0,1277.80,6.50,-6.50,0,85.18000,0.10000,-0.10000,0,5678.00,16.00,-16.00,0,1.103800,0.007300,-0.007300,0,1.008000,0.022000,-0.022000,0,0.2170,0.0490,-0.0490,0,[Fe/H],0.05385,0.00572,-0.00579,0,4.356000,0.013000,-0.013000,0,1.059000,0.038000,-0.038000,0,292.4588212,62.5291892,12.8520000,0.3110000,-0.3110000,11.6400000,0.0340000,-0.0340000,11.6787000,0.0003440,-0.0003440,11.2086000,0.0060000,-0.0060000
HAT-P-60 b,HAT-P-60,1,1,1,Transit,Published Confirmed,0,4.79478130000,0.00000240000,-0.00000240000,0,0.0627700000,0.0001700000,-0.0001700000,0,18.28184752,0.26901554,-0.26901554,0,182.43350562,12.07747947,-12.07747947,0,Mass,0.164000,0.013000,-0.013000,0,0.250000,,,1,1634.0000,45.0000,-45.0000,0,1772.00,12.00,-12.00,0,83.75000,0.17000,-0.17000,0,6212.00,26.00,-26.00,0,2.197000,0.027000,-0.020000,0,1.435000,0.012000,-0.012000,0,0.0370,0.0370,-0.0370,0,[Fe/H],0.80889,0.01132,-0.01162,0,3.911400,0.009700,-0.009700,0,0.190900,0.005400,-0.007100,0,28.2825719,52.0539209,10.2420000,0.0540000,-0.0540000,9.7270000,0.0040000,-0.0040000,9.5635500,0.0003370,-0.0003370,9.1792500,0.0061000,-0.0061000
HAT-P-61 b,HAT-P-61,1,1,1,Transit,Published Confirmed,0,1.90231289000,0.00000077000,-0.00000077000,0,0.0301000000,0.0003400000,-0.0003400000,0,10.07687365,0.30264248,-0.30264248,0,335.94462620,22.24798849,-22.24798849,0,Mass,1.800000,0.200000,-0.200000,0,0.113000,,,1,849.5000,35.2000,-35.2000,0,1505.00,16.00,-16.00,0,83.62000,0.24000,-0.24000,0,5587.00,45.00,-45.00,0,0.938000,0.011000,-0.011000,0,1.004000,0.033000,-0.033000,0,0.1940,0.0600,-0.0600,0,[Fe/H],-0.11520,0.01721,-0.01792,0,4.496000,0.021000,-0.021000,0,1.715000,0.094000,-0.094000,0,75.4801665,50.1311784,14.0400000,0.0560000,-0.0560000,13.0960000,0.0800000,-0.0800000,12.9386000,0.0004240,-0.0004240,12.3824000,0.0061000,-0.0061000
